"Min,Max,Modal PriceLasalgaon(Niphad) from 01-Jan-2025To01-Apr-2025 (Total-104) (Total-104)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
20,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1100,2810,2451,1-Jan-25
8,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1000,2620,2350,2-Jan-25
95,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1000,2750,2350,3-Jan-25
74,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1000,2852,2500,4-Jan-25
11,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1160,2760,2551,6-Jan-25
64,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1100,2700,2450,7-Jan-25
73,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1042,2510,2250,8-Jan-25
6,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1000,2580,2200,9-Jan-25
15,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,861,2230,1850,10-Jan-25
40,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,800,2145,1800,11-Jan-25
57,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1000,2320,1850,13-Jan-25
61,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1000,2248,1950,14-Jan-25
77,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1100,2300,1950,16-Jan-25
69,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1100,2341,2031,17-Jan-25
1,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1100,2551,2225,18-Jan-25
102,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1100,2711,2470,20-Jan-25
83,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1000,2601,2351,21-Jan-25
47,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1100,2660,2411,22-Jan-25
52,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1100,2602,2400,23-Jan-25
27,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1100,2770,2475,24-Jan-25
9,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,1100,2750,2425,25-Jan-25
63,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,2611,2350,27-Jan-25
5,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,2700,2400,28-Jan-25
60,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,2650,2325,29-Jan-25
72,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,2511,2250,30-Jan-25
98,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,2525,2250,31-Jan-25
3,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1000,2351,2125,1-Feb-25
88,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1000,2400,2100,3-Feb-25
35,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1000,2553,2300,4-Feb-25
21,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1000,2600,2400,5-Feb-25
96,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,2605,2400,6-Feb-25
44,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,2651,2475,7-Feb-25
49,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,3000,2550,8-Feb-25
93,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1300,4000,3050,13-Feb-25
78,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1400,4011,3150,14-Feb-25
92,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1300,3325,3050,15-Feb-25
30,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1200,3200,2900,17-Feb-25
91,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1700,2850,2651,17-Feb-25
25,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1717,2646,2347,18-Feb-25
58,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,2851,2550,18-Feb-25
7,Nashik,Lasalgaon(Niphad),Onion,Other,Local,851,2300,2241,19-Feb-25
79,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,2670,2450,19-Feb-25
23,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1000,2800,2500,20-Feb-25
59,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1446,2448,2281,20-Feb-25
16,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1101,2611,2420,21-Feb-25
22,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1871,2360,2221,21-Feb-25
37,Nashik,Lasalgaon(Niphad),Onion,Other,Local,1300,2385,2200,22-Feb-25
51,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,2650,2400,22-Feb-25
31,Nashik,Lasalgaon(Niphad),Onion,Other,Local,2150,2400,2240,24-Feb-25
38,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,2700,2500,24-Feb-25
2,Nashik,Lasalgaon(Niphad),Onion,Red,Local,1100,2670,2500,25-Feb-25
13,Nashik,Lasalgaon(Niphad),Onion,Other,Local,2100,2400,2300,25-Feb-25
4,Nashik,Lasalgaon(Niphad),Onion,Other,Local,2180,2361,2260,26-Feb-25
